ranking,title,artist,album,likes,date,lyrics
1,"19금
변태 (Prod. PAAD)",PAAD,변태,3,2020.02.25,가사가 없습니다
2,GPS,Yonge Jaundice (영 잔디스),LATE NITE AT 031,4,2020.02.25,"Where’s myself<br/>몰라<br/>지구 반대쯤<br/>Somebody use ur gps on me<br/>Somebody use ur gps on me<br/>Where’s ur self<br/>July<br/>Summer memories<br/>I gotta use my gps on u<br/>I gotta use my gps on u<br/>그때의 나로 대려다줄 독백<br/>Pray to my god but I aint obey<br/>십자가 앞에 내 모습은 초췌<br/>죄를 씻어도 내 온몸에는 satan<br/>늪에 빠진듯<br/>im drowning im drowning<br/>My darling<br/>U doing ok<br/>혼자가 싫어<br/>I try to fall in I fall in<br/>Love but u already know I cant<br/>익숙해 being loner<br/>Lighting over lunar<br/>밝아보여 brighter than me<br/>I want no one on me<br/>하늘이 밝아질때<br/>밝았던 기억을 떠올릴께<br/>I remind u when I feel pain<br/>I can’t find u I lost in the hell<br/>Where’s myself<br/>몰라<br/>지구 반대쯤<br/>Somebody use ur gps on me<br/>Somebody use ur gps on me<br/>Where’s ur self<br/>July<br/>Summer memories<br/>I gotta use my gps on u<br/>I gotta use my gps on u<br/>떠나줘<br/>내 기억속에 남은 사진들만<br/>선명하게 남을때<br/>태워도<br/>타지 않는 잠수성의 표면처럼<br/>그때로난 잠기네<br/>Where r u where u<br/>Where the hell are you<br/>I’m on my way to find u<br/>Where r u where u<br/>Where the hell are you<br/>I’m on my way to find u<br/>
"
3,WASHING FUNCTION (Feat. Xyro),OB DIME,WASHING FUNCTION,4,2020.02.25,"꿈 꾸네 딴 나라의 밤<br/>꿈 꿨지 그 도시의 낮<br/>서울과는 다를 것 같아서<br/>머리 위 비행기 꼬리만<br/>따라가네 내 눈동자는<br/>언젠가는 타보겠지만<br/>티켓 값을 벌은 뒤에<br/>첨 찍어 볼 여권 사진엔<br/>상승과 추락이 가늠 안될<br/>표정 한번을 남긴 뒤<br/>느낄 쓴 맛 있는거<br/>싹 털어 가거든 아무리<br/>미쳤다 해도 뒷날은<br/>내 마음의 여유를 좀먹지<br/>아무래도 맘 편한 나라는 없나 보네<br/>나 같은 놈에게는<br/>그래 종일 음악 얘기<br/>폐는 한계를 맞지<br/>붕 뜬 시간을 잡기엔<br/>거드름 피운 날 많으니<br/>급해졌어 변명 안 해 우스워져<br/>느낀 것 아직 없는데 추운 겨울<br/>Take some times<br/>lay my body down<br/>relax and breathe<br/>내려놔 반쯤 떠도 나쁘지 않네<br/>서울은 꽤 멋져 단지 우리는 아직<br/>비우지 못한 게 많으니<br/>새로 채워 덜어내<br/>Let me cool down<br/>됐어 다 비운 다음엔<br/>굳이 떠날 필요가 없어<br/>굳이 떠날 필요가 없어<br/>나 역시 멀리 도망 가자고<br/>창문을 열면 푸른 바다고<br/>잘 웃고 매너 좋은 사람들<br/>원한건 그게 전부 다 라고<br/>난 떠나야 해 자유 찾아서<br/>계속해 되뇌였던 착각들<br/>이곳엔 자유로운 나란 없고<br/>자유로운 마음만 존재한단걸<br/>늦게 나마 알았어<br/>나와 똑같은 검은 초상<br/>어쩜 늦지 않았어<br/>널 벗어나 멀리 도망<br/>바꿔 내 시야란거<br/>자유로움과 같이 또 봐<br/>맘에 들걸 아마도<br/>내 표정과 맘의 평화<br/>다르게 보여 예전의<br/>나였다면 뜨거워 데여<br/>나 조차도 그을려서<br/>모든 단어들이 시꺼먼<br/>다르게 보여 예전의<br/>나였다면 차가워 얼까<br/>옆에 두지 않았던 걸<br/>이젠 오히려 내가 꽉 잡어<br/>난 떠나야 해 라고 되뇌이던 밤에<br/>내 시야엔 여긴 꽉 막혀 답답해<br/>그때 와 내가 달라진건 많진 않은데<br/>느낄까 왜 대체 뭐 그렇게 다르기에<br/>Take some times lay my body down<br/>relax and breathe<br/>내려놔 반쯤 떠도 나쁘지 않네<br/>서울은 꽤 멋져 단지 우리는 아직<br/>비우지 못한 게 많으니<br/>새로 채워 덜어내<br/>Let me cool down<br/>됐어 다 비운 다음엔<br/>굳이 떠날 필요가 없어<br/>굳이 떠날 필요가 없어<br/>
"
4,Juice (Feat. Band Westwood),Life20house (라이프투애니하우스),Juice,10,2020.02.25,"쏟아지는 Juice 흘러넘쳐버렸어 <br/>널 보는 내 마음 한계를 넘었어 <br/>Imma run to u <br/>run to u <br/>run to u <br/>네 맘이 아깝지 않게 그 마음을 <br/>내게 줘 나 여기 있을게 <br/>시간이 지나 우리 멀리 떨어져도 <br/>우리 추억을 기억해 <br/>Imma run to u <br/>run to u <br/>run to u <br/>Imma run to u <br/>run to u <br/>run to u <br/>I’ll coming to u <br/>coming to u coming to u <br/>Imma run to u <br/>run to u run to u <br/>대변해줄래 다 괜찮을 거라고 말해줘 <br/>우리 시간은 그 자리에 멈췄어 <br/>대화가 줄었다거나 <br/>모습이 낯설다거나 <br/>그런 말엔 그냥 전화기를 꺼 <br/>난 감정을 숨기는 방법을 몰라 <br/>그냥 안고 가는 거지 전부 혼자 <br/>손 놓으면 날아갈 듯해서 <br/>꽉 쥐었네 부디 너도 날 <br/>잠이 안와 네가 없는 밤엔 <br/>너로 가득 찬 내 모든 날이 <br/>먼지가 됐어 흩날리고 너는 사라져 <br/>지난 우리 추억 속 <br/>웃고 있는 널 봐서 <br/>멈췄으면 해 시간이 <br/>영원했으면 해 네 맘이 <br/>날 잡고 있는 이 밤이 <br/>얼마나 갈진 몰라도 <br/>Babe i promise run to u <br/>이번마저 네가 이겼어 <br/>이 노래 아무 의미 없어 <br/>널 따라가다 휘청거려도 <br/>바란다면 잠시 멈춰줘요 <br/>어디든 Im down going to you <br/>태우러 갈게 Im down going to you <br/>시간을 잠시 내 걸로 <br/>시간을 잠시 내줘요 <br/>Im down going to you <br/>네 맘이 아깝지 않게 그 마음을 <br/>내게 줘 나 여기 있을게 <br/>시간이 지나 우리 멀리 떨어져도 <br/>우리 추억을 기억해 <br/>Imma run to u <br/>run to u <br/>run to u <br/>Imma run to u <br/>run to u <br/>run to u <br/>I’ll coming to u <br/>coming to u coming to u <br/>Imma run to u <br/>run to u run to u <br/>Im just you you just me <br/>We live in this old town <br/>this is ghost town<br/>Im just you you just me<br/>We live in this old town<br/>this is ghost town<br/>
"
5,난 너의 하늘이 되기로 했다,하밍구,난 너의 하늘이 되기로 했다,6,2020.02.25,"ㅎㅁ9<br/>헝클어진 머리<br/>어제 먹다 남은 피자<br/>더부룩하지만<br/>이 평화로운 토요일 오전이<br/>날 웃게 하지 마치 너의 해맑음<br/>날씨가 역할이라면 니가 해 맑음<br/>난 흐려줄게 기꺼이<br/>너를 위해서라면<br/>혹은 너가 늘 맑기를 소망한다면<br/>될게 맑은 하늘 가능하지 다<br/>난 못하는게 없잖아<br/>니 옆에 있을 땐 말야<br/>Girl i'm gonna be your weather<br/>너에게 맞춰줄게 오래도록<br/>벌레도 다 잡아줄게<br/>멋있제 이게 나야<br/>가오도 잡다가 여린 척도 하다 <br/>북치고 장구치고 난리 쳐<br/>이 바보는 No Problem<br/>내가 어찌 날씨 얘길 계속해<br/>노잼인데 넌 재밌데<br/>넌 천사에 속해<br/>I don't want casual love<br/>부담 좀 가져볼까<br/>의무는 아냐 아 물론<br/>Will you marry me<br/>Uhm Ah Uhm Ah<br/>너의 하늘이 되기로 했어<br/>Ah Uhm Ah<br/>마른 하늘은 못될 듯<br/>여보세요 어디로 갈까<br/>말만 해 뭐든 해줄게<br/>누웠어 잠 하나도<br/>안 오고 있어 나<br/>라 말하는 너에게<br/>나도야 이참에<br/>여행지나 고르자<br/>이 나라 밖으로 갈까<br/>그냥 따라와 내가 정할게<br/>그래 뭔들 아님 전국 맛집<br/>털어버려도 좋을 것 같아<br/>그건 내일 바로<br/>진행할테니 일단 자자<br/>Uhm Ah Uhm Ah<br/>너의 하늘이 되기로 했어<br/>Ah Uhm Ah<br/>마른 하늘은 못될 듯<br/>여보세요 어디로 갈까<br/>말만 해 뭐든 해줄게<br/>I got that love<br/>올 봄은 미리 왔네 봐<br/>덕에 찾아내버린<br/>내 제 2의 자아<br/>지 밖에 모르던 내가<br/>너에겐 다 갖다 바쳐도<br/>단 하나도 안 아까워<br/>난 파란 옷 입고 넌 새하얀 옷<br/>예쁜 구름같은 널 내 품 안에<br/>꼭 안고있으면 난 너의 하늘이고<br/>넌 나의 전부인거야<br/>하늘을 떠다니는 기분이 너에겐 늘<br/>Uhm Ah Uhm Ah<br/>너의 하늘이 되기로 했어<br/>Ah Uhm Ah<br/>마른 하늘은 못될 듯<br/>여보세요 어디로 갈까<br/>말만 해 뭐든 해줄게<br/>
"
6,멀리 (Feat. PLUMA) (Prod. ZENO),SANG HA (조상하),멀리,97,2020.02.25,"우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래<br/>우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래 ye ye<br/>내 모든 걸 줄수 있는<br/>친구들은 몇 명 없어<br/>걔네들도 아낌없이 믿어줬어<br/>마치 나무처럼 나를 챙겨줬어<br/>묵묵하게 지켜보며 믿었었어<br/>이젠 내가 걔네한테 보답할 때야<br/>나를 비난하던 걔넨 멀리 할꺼야<br/>높이 올라가면 놀러 멀리 갈꺼야<br/>먹고 싶은 것도 다 먹고 놀꺼야<br/>근데 음악이란 게 너무나 어려워<br/>shout out 산본 친구가족<br/>너무 고마워<br/>근데 부모님을 보면 너무 서러워<br/>버텨왔어 지금<br/>내 레벨은 ANOTHER<br/>내가 기가 죽어 힘이 부족할 때<br/>기죽지말라고 말해주던 부모형제<br/>내가 기가 죽어 힘이 부족할 때<br/>힘내라고 말해주던 친구형제<br/>우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래<br/>우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래 ye ye<br/>회색의 도시에 남은 순간<br/>차가운 세상에 가짜들만<br/>여린 이 소년의 마음의 안<br/>내 가족의 사랑만이 가득함<br/>위험한 이불 밖<br/>어른이 된다는 두려움과<br/>흑백 도시 사이에<br/>제일 우뚝 서야 된다는 책임감<br/>돈을 벌어도<br/>공허한 내 마음 속<br/>채워줄 누구도<br/>없어보여 alone<br/>의미없어 보여<br/>모두가 혼자라면<br/>나를 꺼내줘<br/>복잡한 이 감정 속<br/>느껴본 적 없던<br/>따뜻함 그리워<br/>혼자가 난 싫어<br/>Don't leave me<br/>in the dark tonight tonight<br/>Don't leave me<br/>in the dark tonight tonight<br/>우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래<br/>우리 가족들만 남고 너넨 멀리해<br/>나는 행복하고 싶어 진짜 All day<br/>너네보다 나는 많이 올라갈게<br/>나는 가족들만 좋아 챙겨갈래 ye ye<br/>
"
7,You Know What I Mean,엔벨로퍼 (EnvLoper),Expression,7,2020.02.25,"You know what I mean<br/>I can’t take a sleep<br/>You know what I mean<br/>삶이 힘들지<br/>정신없이 달려가다가<br/>한 번씩 돌아봐도 되나<br/>그런 고민도 과분해<br/>난 불안해 더 아플까 봐서<br/>난 두렵네 넘어질까 봐서<br/>괜찮다고 말 한 마디만 해준다면<br/>아무렇지 않은 듯 또 일어날게<br/>나에게 있어서 가장 소중한게<br/>뭔지 묻는다면 우물쭈물 난 대답해<br/>아직 잘 모르겠어<br/>가족들 아님 친구들<br/>것도 아님 내가 하고 있는 일이라 해<br/>확신이 없어 난 내 자신에 대해<br/>손가락질이 두려워 도대체 뭐 땜에<br/>너도 결국 그들과 똑같이 되겠냐 해<br/>모르겠다고 묻지 말라고 화내<br/>앞만 보고 달렸다기엔<br/>난 천성이 게을러<br/>어릴 때부터 내 특기<br/>욕을 많이 먹어 배불러<br/>나중에를 위한 나중에<br/>그게 도대체 언제<br/>치고 나가는 내 또래들의<br/>현명한 선택<br/>앞만 보고 달리기엔 신경 쓸 것들이<br/>하나 둘 씩 늘어나기에 조금 늦었나<br/>You know what I mean<br/>I can’t take a sleep<br/>You know what I mean<br/>삶이 힘들지<br/>정신없이 달려가다가<br/>한 번씩 돌아봐도 되나<br/>그런 고민도 과분해<br/>난 불안해 더 아플까 봐서<br/>난 두렵네 넘어질까 봐서<br/>괜찮다고 말 한 마디만 해준다면<br/>아무렇지 않은 듯 또 일어날게<br/>맘에 안 드는 것 투성이<br/>집안에 돈이 많은<br/>쟤들에게 또 질투 섞인<br/>푸념을 늘어놔도 어쩌면<br/>내가 더 부럽지<br/>난 하고 싶은 것들에<br/>도전을 멈춘 적이 없었기에<br/>누군가의 wanna be<br/>Are you wanna try something<br/>그렇다면 고민하지 말고<br/>just do it like the Nike<br/>한 밤중에도 환한 내 방의 밝기<br/>Bring your mic shit<br/>생각했던 모든 것들이<br/>내 앞에서 부러져<br/>그런데도 괜찮나<br/>조바심은 불어 더<br/>나중에를 위한 나중에<br/>그게 도대체 언제<br/>치고 나가는 내 또래들의<br/>현명한 선택<br/>앞만 보고 달리기엔 신경 쓸 것들이<br/>하나 둘 씩 늘어나기에 조금 늦었나<br/>You know what I mean<br/>I can’t take a sleep<br/>You know what I mean<br/>삶이 힘들지<br/>정신없이 달려가다가<br/>한 번씩 돌아봐도 되나<br/>그런 고민도 과분해<br/>난 불안해 더 아플까 봐서<br/>난 두렵네 넘어질까 봐서<br/>괜찮다고 말 한 마디만 해준다면<br/>아무렇지 않은 듯 또 일어날게<br/>
"
8,Talk to me (Feat. 김종우),김도연,Talk to me,46,2020.02.25,"Just talk to me<br/>baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>Just talk to me<br/>baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>넌 내게 거절은<br/>No No<br/>변한건 없다며<br/>Wo Wo<br/>내 심장은<br/>Love Heart<br/>아직은 뛰고 있네<br/>너와 나의 관계<br/>넌 내게 거절은<br/>No No<br/>변한건 없다며<br/>Wo Wo<br/>내 심장은<br/>Love Heart<br/>아직은 뛰고 있네<br/>너와 나의 관계<br/>별이되 널 환히 비춰<br/>나는 왜 널 보고 웃어<br/>오늘도 비 오던 날 밖을 보니<br/>너가 떠올라서<br/>난 또 환하게 웃어<br/>Baby don’t you ever leave<br/>너가 날 떠난다면 난 걍 Smoking<br/>연기가 되어 하늘 위를 나는<br/>상상은 Do not fuck ever leave<br/>Just talk to me<br/>Baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>Just talk to me<br/>Baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>환하게 웃어봐<br/>슬픈 생각이 떠나가도록<br/>날 보면 너가 한 번에<br/>반할 수 있도록<br/>노력해볼게 내가 변한담 네게<br/>꼭 좋아한다고 말할게 약속<br/>내 일기장엔 너랑 만난 날만<br/>난 더 위를 보고 날라<br/>내 일기장엔 너랑 만난 날만<br/>난 더 위를 보고 날라<br/>Just talk to me<br/>Baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>Just talk to me<br/>Baby don’t you ever leave<br/>You the missing part of me<br/>You all I need it<br/>
"
9,Burn to ashes,월터,Rose garden ll,31,2020.02.24,"The devil's calling out loud<br/>난 잠이 오지 않아<br/>내 희망 성냥 같아<br/>날 부르지마 burn out<br/>Because of you<br/>내 밤이 길어질 때<br/>빛이 필요 하기에<br/>knockin' on heaven’s door<br/>Because of you<br/>내 밤이 길어질 때<br/>빛이 필요 하기에<br/>knockin' on heaven’s door<br/>내게 정원을 보여줘<br/>아름다움을 보여줘<br/>내 발화가 끝나면<br/>이제 니가 날 떠나면<br/>내게 정원을 보여줘<br/>아름다움을 보여줘<br/>내 발화가 끝나면<br/>이제 니가 날 떠나면<br/>이 밤이 지나가길 바라지<br/>그것들은 계속 내 걱정을 받았지<br/>니가 부를 수록<br/>네 곁으로는 안가지<br/>내 진심을 너는<br/>계속 파고 들었지<br/>Because of you<br/>내 밤이 길어질 때<br/>빛이 필요 하기에<br/>knockin' on heaven’s door<br/>Because of you<br/>내 밤이 길어질 때<br/>빛이 필요 하기에<br/>knockin' on heaven’s door<br/>
"
10,전화기,에이피 (AP),2017,24,2020.02.24,"전화기를 꺼놔 잠시만<br/>전화기를 꺼놔 잠시만<br/>그냥가<br/>널 두고가<br/>날 두고가<br/>제발 아직 아니야 그냥가<br/>마음 못잡아 maybe need that 돈다발<br/>so 난 멀리가고 싶어 떠나 여행<br/>모두 잠시 잊고<br/>getting baked or 선택해<br/>굳이 말하지않고 go<br/>hey 굳이 아무도 말하지않고 go<br/>난 멀리 왔네<br/>여긴 어디 나는 어디에<br/>drinking lotta lean smoking<br/>in this beamer<br/>drivin thru 내 기분<br/>스쳐가는 기억들을 실음<br/>전화기를 꺼놔 잠시만<br/>당분간은 연락하지마<br/>우리 잠시 멀어지는 시간<br/>하나둘씩 떠나가지 다<br/>전화기를 꺼놔 잠시만<br/>당분간은 전화하지마<br/>우리 잠시 멀어지는 시간<br/>하나둘씩 떠나가지 나<br/>떠나가지 다<br/>아 아 아 괜찮아 멀리가<br/>음 음<br/>Ring<br/>내 iphone turned it off<br/>아직은 warming up<br/>지워도 머리에 다 퍼져서<br/>세상에 어떻게 모든거 다 피하겠어<br/>스트레스 받고싶지 않아해<br/>갑자기 노래 만들어서 해<br/>I just want to chill and<br/>이게 내 방식인데 my way<br/>괜찮아 괜찮아<br/>이제 인스타보고 뭘 해도<br/>아무렇지 않아 and you know it<br/>창문열고 나는 chilling<br/>얼굴을 내밀어<br/>바람느낌 좋아 저기 해바라기 산<br/>난 안궁금해 사과 할일들과<br/>지금이 몇시인지 집어 넣어<br/>난 안궁금해 할일들과<br/>지금이 몇시인지<br/>그러니 좀 집어넣어<br/>let's turn it off<br/>전화기를 꺼놔 잠시만<br/>당분간은 연락하지마<br/>우리 잠시 멀어지는 시간<br/>하나둘씩 떠나가지 다<br/>전화기를 꺼놔 잠시만<br/>당분간은 전화하지마<br/>우리 잠시 멀어지는 시간<br/>하나둘씩 떠나가지 나<br/>떠나가지 다<br/>아 아<br/>하나둘씩 떠나가지 다<br/>전화기를 꺼놔 잠시만<br/>
"
