ranking,title,artist,album,likes,date,lyrics
1401,Deceased,Xen the boro,Deceased,38,2019.09.20,"When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>Don't lie but I can't<br/>hear you what you sayin'<br/>Comes right now then<br/>we can talk each other man<br/>Cuz we are living different side<br/>We can not talking<br/>we're in different side<br/>I don't wanna die like you<br/>I don't wanna live like you<br/>You I don't wanna live like you<br/>Money rules ma whole childhood<br/>Im gonna sing this song<br/>in ma hometown road<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>행복하게 살자 이제 우리들도<br/>그간 못 만진 돈 두 손 가득 들고<br/>비쌋 옷 비싼 차 옛날엔 꿈도 못 꿔<br/>지금은 또 아냐 이런 삶이 그땐 소원<br/>돈이 없어 병원 치료도 못 가<br/>지랄 맞은 돈이 없어<br/>누나 급식 먹고 가<br/>시발 이제 이 짓도 돈이 없어 굶는 건<br/>청산하고 다시 써<br/>넌 뭐가 그리 아니꼬워<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>집으로 가는 길이 쪽 팔리지 않게<br/>술을 가득 채우자고 잔에<br/>Same place<br/>같은 자리<br/>같은 처지 미안<br/>나는 아직 안돼 아빠 다음에<br/>집으로 가는 길이 쪽 팔리지 않게<br/>술을 가득 채우자고 잔에<br/>Same place<br/>같은 자리 같은 처지<br/>미안 나는 아직 안돼 아빠 다음에<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>When I was 5<br/>몇 밤 자면 집에 온다고<br/>When I was 10<br/>그는 이제 출장 갔다고<br/>연기를 해야 해<br/>그게 날 필요로 할 땐<br/>거짓말을 해야 해<br/>그게 날 필요로 할 땐<br/>
"
1402,호캉스,"Keizi (케이지), YoungKIP",호캉스,28,2019.09.20,"요즘 여자들 더운건 참 질색해<br/>오늘 날씨를 피해 화장을 덧칠해<br/>같이 떠날래 어디로<br/>유럽 런던 파리<br/>가치 더할래 우리로<br/>너와 나의 party<br/>굳이 멀리 갈 필요없잖아<br/>이태원 burning<br/>둘이 풀이 다 죽어 지칠때 까지<br/>조식은 건너뛰어<br/>퀸침대에서 뛰어 춤춰<br/>베게를 적셔 가운 집어던져<br/>흔들어 샴페인 터쳐 pow pow<br/>해외까지는 무리야 hey<br/>너 내 벌이 알잖아 hey<br/>호텔로 가자 풀파티 풀장딸린<br/>인스타 업로드 마음껏 하자<br/>챙겼어 삼각대<br/>널 위해 꿇어줄 무릎 준비 돼 있어<br/>Oh 나랑 같이 떠날래 호캉스<br/>Oh 시원한 풀에서 밤새<br/>호캉스 캉스<br/>준비는 따로 하지 않아도<br/>호캉스 캉스<br/>넌 비키니만 준비해 girl<br/>eyes contact 넌 백 점<br/>푸른 water 위에<br/>너의 분위기는 그저 백조<br/>무더운 여름 햇살 위<br/>녹아가는 ICE pack 좋아<br/>높이 올라가자 빌딩 위 풀장으로<br/>웬 브르스 리 감탄이 절로 나와<br/>그녀의 곡선에 Body가<br/>hot Body 그저 따끈따끈한 핫바 지<br/>달이 뜨지 않아도 난 텐트를 쳐<br/>곤란해 곤란해<br/>예쁜 여자와 눈 마주치면 난 곤란해<br/>볼만해 볼만해<br/>저기 가는 섹시 girl<br/>내 동공은 초속 180번 이동<br/>시력은 굶주린 매같이<br/>너와 난 눈떠 매일같이<br/>틀어놓은 Beat와 어울리는 이곳으로<br/>Don't be shy Come on Beach<br/>해외까지는 무리야 hey<br/>너 내 벌이 알잖아 hey<br/>호텔로 가자 풀파티 풀장딸린<br/>인스타 업로드 마음껏 하자<br/>챙겼어 삼각대<br/>널 위해 꿇어줄 무릎 준비 돼 있어<br/>Oh 나랑 같이 떠날래 호캉스<br/>Oh 시원한 풀에서 밤새<br/>호캉스 캉스<br/>준비는 따로 하지 않아도<br/>호캉스 캉스<br/>넌 비키니만 준비해 girl<br/>꼭꼭 숨긴 너의 Body come true<br/>마이크를 내려놓고 너의 곁으루<br/>물에 젖은 몸은 이리로<br/>follow me 빨리<br/>come on parking beach ya<br/>놀아봐 음 또는 synchronized<br/>시간이 많지 않아 오늘은<br/>Swimming Pool 을 비추는<br/>해 가지는 듯<br/>Oh 나랑 같이 떠날래 호캉스<br/>Oh 시원한 풀에서 밤새<br/>호캉스 캉스<br/>준비는 따로 하지 않아도<br/>호캉스 캉스<br/>넌 비키니만 준비해 girl<br/>Oh 나랑 같이 떠날래 호캉스<br/>Oh 시원한 풀에서 밤새<br/>호캉스 캉스<br/>준비는 따로 하지 않아도<br/>호캉스 캉스<br/>넌 비키니만 준비해 girl<br/>
"
1403,Look at me (Prod.KepF),KepF (권성수),Look at me,2,2019.09.20,"Oh yeah<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Plz watch me<br/>나를 계속 바라봐 줘<br/>너가 내게 했던 잔소리들도<br/>Always change me<br/>나를 바꾸고 있어<br/>나중에 떳떳하게 보일 나로<br/>성장할태니 그때까지<br/>keep look at me<br/>Looking for you<br/>나는 너를 쳐다보고 있는데<br/>네 시선은 나를 바라봐 주질않아<br/>난 좀더 발전해서<br/>내가 했던 약속들을 이룰께<br/>안멈추고 노력해볼께<br/>Plz look at me always<br/>Oh yeah<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>나도 원해<br/>부와 명예<br/>I wanna fly 하늘위<br/>난 날고싶어 저기 위<br/>내가 원하는 자린 저기 구름위<br/>내가 과거에 썼던 Demo tape<br/>그 가사들이 다시 내게 되물어<br/>어떤걸 원하는진 나도 I don't know<br/>But I don't care<br/>단지 내 꿈을 위해 노력하기만 할 뿐<br/>그게 내가 해야 할 일<br/>그게 내가 하고있는 일<br/>말 뿐인 노력은 no<br/>내 꿈을 위해 노력해야하는건 now<br/>나도 잘몰라 뭘 해야 하는진 how<br/>Just 내 원동력이 필요해<br/>그러니<br/>Look at me plz<br/>Oh yeah<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Oh yeah<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>Look at me<br/>shawty<br/>나를 더 지켜봐줘<br/>my homies<br/>나를 더 지켜봐줘<br/>
"
1404,Visualize,사마-디 (Sama-D),Visualize,16,2019.09.19,"밑 그림 그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>한참 남았지 가야할 길 <br/>어떻게든 여기서 살아남기 <br/>먹고살기 때문에 잠깐 갔다 왔지 <br/>완전히 떠나간 이들 안타깝지 <br/>이런저런 일들 사정 상황 핑계 <br/>삶의 무게 절망 몇 번의 실패 <br/>버티고 견디네 <br/>꿈꿔왔던 미래를 바꾸기 위해 <br/>행동하고 말해 이미 이뤄진듯이 <br/>안되는 이유 안될거라는 불신 <br/>에이 설마 하는 의심 <br/>그런 것들이 진짜 그렇게 만들지 <br/>내일 당장 망해도 <br/>어색하지 않은 삶을 사는데도 <br/>그런 와중에 난 계속 <br/>멋진 미래를 그리네 이상하게도 <br/>밑 그림 그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>내가 바란 기도한 것들 <br/>전부 믿은대로 받는 선물 <br/>죽이고 싶은 인간들 <br/>그들의 저주 보단 나의 성공을 <br/>항상 바닥만 긁던 놈이 <br/>높은 곳에서 내려 보지 <br/>니네 의지와는 상관 없이 <br/>자주 접하게 될거야 내 소식 <br/>푼돈에 벌벌 떨며 쓰기 <br/>무서워 후덜덜 궁상 떨어 <br/>이제 감당 안되는만큼 벌어 <br/>투명인간 취급했던 <br/>놈이 내게 말 걸어 <br/>모두 담네 어디가 <br/>더 저렴한지 고민안해 <br/>니가 내게 뭐라 하던 간에 <br/>이제 내게 닿지 않네 <br/>밑 그림 그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>그저 손이 가는대로 긋지 <br/>내가 선택한 색깔로 칠칠 <br/>그런 컷들이 쌓여 하나 둘 씩 <br/>원하는 장면이 돼 이뤄지지 <br/>이제 난 모든 것을 만끽하네 <br/>거지 같은 생각 다신 안해 <br/>그렸네 그게 모두 이뤄질 때 <br/>그렇게 생각하면 진짜 그렇게 돼 <br/>모든 것을 만끽하네<br/>거지 같은 생각 다신 안해<br/>그렸네 그게 모두 이뤄질 때<br/>그렇게 생각하면 진짜 그렇게 돼<br/>밑 그림 그저 손이 가는대로 긋지<br/>내가 선택한 색깔로 칠칠<br/>그런 컷들이 쌓여 하나 둘 씩<br/>원하는 장면이 돼 이뤄지지<br/>그저 손이 가는대로 긋지<br/>내가 선택한 색깔로 칠칠<br/>그런 컷들이 쌓여 하나 둘 씩<br/>원하는 장면이 돼 이뤄지지<br/>
"
1405,OIIO (Feat. D2ear),뮤진 (MUZIN),OIIO,143,2019.09.19,"어두운 이 공간에<br/>환하게 밝혀주는 <br/>나의 camera shoot<br/>떠오르는 기억은<br/>V하고 나를 향해 웃어주던 너<br/>그림인 것 같지만<br/>그 속에 주인공은 나이 어리기만 해<br/>우린 언제부터 사진 속 ya<br/>나도 모르겠어 <br/>baby stop film you know <br/>um 2-00-4<br/>난 아무것도 모른 채로 너를 그렸고<br/>스케치북에 담긴 모습 그대로 <br/>남아있는 꽃<br/>신기하기만 해 now I feel um um<br/>stranger 나 이상해<br/>crazy up 정말 어색해<br/>지금 다시 만난 건 우연이고<br/>아무 소리 no 지금 상태 음소거<br/>close your eyes yeah<br/>눈이 감긴 채로 노랠 부르고<br/>시간은 멈춰 있는 것만 같아<br/>woo woo woo tonight<br/>기억해줘 지금 이 순간<br/>우린 함께 걸어가고 있잖아 baby<br/>모든게 멈춘 것 같애<br/>난 마치 구멍이 뻥 뚫린 donutman<br/>어릴적 기억엔 내 동생<br/>소꿉놀이 하던 때가 어제 같은데<br/>어느덧 너의 별이 되고<br/>너는 또 나의 별이 되고<br/>신비로운 푸른색<br/>어제 나눈 우리 둘의 대화 blah blah<br/>이젠 내 옆에서 곤히 잠들기도 해<br/>달이 지고 해가 뜨면 우린 노래해<br/>radio에서 talk about good morning<br/>고개 들어 너를 확인하고 숙임<br/>baby I need you love<br/>내일도 손 꼭 잡고<br/>지금 다시 만난 건 인연이고<br/>아무 소리 no 지금 상태 음소거<br/>close your eyes yeah<br/>눈이 감긴 채로 노랠 부르고<br/>시간은 멈춰 있는 것만 같아<br/>woo woo woo tonight<br/>기억해줘 지금 이 순간<br/>우린 함께 걸어가고 있잖아 baby<br/>조금 어색한 듯<br/>익숙한 너와는 다른<br/>간지러운<br/>우리의 모습에<br/>웃음이 나와<br/>전과는 다른 오늘이<br/>소중해져서 내일이 woo<br/>기대되는 걸 baby<br/>눈을 감은 채로<br/>너의 노래를 들으며<br/>네게 기대있는<br/>지금이 좋아<br/>oh tonight<br/>기억할게 <br/>함께 걸어가는 이 순간 <br/>
"
1406,집에 가고 싶어,한현진,집에 가고 싶어,10,2019.09.19,"집에 가고 싶어 집에 가고 싶어 <br/>집에 가고 싶어 <br/>오늘은 정말 하 <br/>집에 가고 싶어 얍얍 <br/>방금 출근 했지만 에이 <br/>집에 가고 싶어 i'm serious <br/>막상 가도 사실 아이 참 <br/>할건 딱 없지만 no no <br/>그래도 여기보단 <br/>훨씬 좋을것 같어 <br/>두눈을 감고 상상을 했어 <br/>가방을 싸고 집에가는 상상 <br/>현관을 열고 들어갔을때 <br/>탁 트이는 숨통 숲속 같은 공기 <br/>두눈을 뜨고 시계를 봤어 <br/>그리고 잠시 고민을 했어 <br/>가방을 싸고 집에 그냥 갈까 <br/>맞다 신용카드 할부가 남았었지 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>한시간 두시간 아 점심은 뭐먹지 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>다시돌아가 다시돌아가 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>토요일로 일요일로 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>날씨가 우중충해서가 아니야 <br/>일이 싫어서 그런것도 아니야 <br/>기분이 참 안좋은도 아닌데 <br/>사무실 안이 답답해서 <br/>그런것도 아니야 <br/>괜히 그런날 있을수 있잖아 <br/>하루쯤 쉬어도 울엄만 날 이해하잖아 <br/>가족같으면 이해 해줄수 있잖아 <br/>겉핥기식 속보이는 <br/>이해 하는척 좀 말아 <br/>두눈을 감고 상상을 했어 <br/>가방을 싸고 집에가는 상상 <br/>현관을 열고 들어갔을때 <br/>탁 트이는 숨통 숲속 같은 공기 <br/>두눈을 뜨고 시계를 봤어 <br/>그리고 잠시 고민을 했어 <br/>가방을 싸고 집에 그냥 갈까 <br/>맞다 신용카드 할부가 남았었지 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>한시간 두시간 아 점심은 뭐먹지 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>다시돌아가 다시돌아가 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>토요일로 일요일로 <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>Tik tok on the clock <br/>Tik tok on the clock<br/>Tik tok on the clock<br/>Tik tok on the clock<br/>Tik tok on the clock<br/>Tik tok on the clock<br/>
"
1407,멈춰있어,일공육공 (1060),멈춰있어,16,2019.09.19,"나이 얘긴 하기 싫은데<br/>먹다보면 결국 비슷해<br/>쉽게 보여졌던 game<br/>해보고 나면 다 어렵지<br/>어른들은 참 대단해<br/>묵묵히들 자기 할일 해<br/>엄마는 내 투정도 받아줘<br/>내가 엄마보다 더 벌어도<br/>여전히 어린애 어렸을 땐<br/>내 머릿 속 생각 때문에<br/>싫었지 애 취급 받는게<br/>내가 진 짐이 제일 무거웠네<br/>사실 그건 지금도 그래<br/>아닌걸 알면서도 그래<br/>사소한 일에도 가끔 짜증내<br/>작은 것도 칭찬 받고프네<br/>감정 컨트롤<br/>그거 내겐 정말 어렵제<br/>소홀해졌던<br/>친구들이 내심 섭섭해<br/>무엇보다 더<br/>내 자신에 집중하는게<br/>먼저란걸 알아서 그런가봐<br/>내가 아직 그걸 못해서<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>며칠 전에 아는 형에게서<br/>전화 한통이 왔지<br/>많이 힘들어 보였어<br/>넋두리를 늘어놓던 그 목소리<br/>형이 겪고 있는 그 고통이<br/>어느정도인지 솔직히<br/>나는 몰라 여친의 투정도<br/>잘 이해 못하는 놈이니<br/>근데 신기하더라구<br/>내가 보기에 형은 정말로<br/>잘하고 있는데 나와 같은<br/>고민을 한다니 난 놀랐어<br/>내색 않고 위로의 말을<br/>건네던 그 밤에 사실 난<br/>뭔가 깨닫기보다는 착잡해져서<br/>출근해야되는데 잠을 못잤어<br/>얼마나 더 우린 올라야 되는걸까<br/>아니 지금 진짜<br/>오르고 있는게 맞긴 한가<br/>오르고 있어서 행복한가<br/>아무도 이유를 몰라도<br/>세상은 도니까 다 분주하게<br/>움직이니 나만 가만 있지 못해<br/>닥치는대로 뭐라도 하긴 하지만<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>나만 멈춰있어<br/>더 뒤로 밀려만 가는 기분<br/>다들 뭔갈 이뤄내고 있는데<br/>나 혼자 여기에<br/>
"
1408,정신 나간 놈 (feat. Asol),HoRyu,길치,6,2019.09.19,"그래 맞아 나는 반쯤 정신 나간 놈 <br/>남들이 보기에도 <br/>정말 그렇게 보이나 봐 <br/>뭐 이건 숨길 수가 없나 봐 <br/>나 원래 이런 놈이니까 <br/>상대하기 싫음 저리 가 <br/>그래도 지금까지 살아오는데 <br/>별지장은 없었어 <br/>다른 사람들한테 욕먹는 거 빼고는 <br/>별로 문제 될 건 없었어 <br/>그러니까 내 걱정하지 말아줘 <br/>앞으로 뭐가 더 필요해 나에게 <br/>달라지는 것 따윈 <br/>아무것도 없어도 돼 나에게 <br/>그냥 평소처럼 나를 대해줘 <br/>뭐 날 욕해도 돼 <br/>생각대로 흘러가진 않아 아무것도 <br/>정신없는 여기에서 살아남는 것도 <br/>미친 세상에서 살아남으려면 <br/>나도 미쳐야 조금이라도 <br/>수지가 맞을 테니 <br/>깊게 생각할 거 뭐 있어 <br/>그냥 그대로 있는 그대로 <br/>살아가면 된 거지 뭐 <br/>어차피 생각하면 할수록 <br/>계속 그 악순환에 <br/>갇혀버릴 수밖에 없는 법 <br/>방금 전에도 말했지만 나는 이제 <br/>남들 눈치만 보다가 죽기는 싫어 <br/>머리를 비워 비위 맞출 <br/>생각하지 말고 내 삶을 살아 <br/>오히려 그게 정답에 가까워 <br/>어차피 이젠 남들도 다 알아 <br/>내가 정신 나간 놈이란 걸 <br/>그럴수록 더 막 나가줘야지 <br/>미친놈은 건드는 게 아닌 란 걸 <br/>더 많이 알려줘야지 <br/>그래 뭐든지 내 마음먹기 달린 거야 <br/>바뀌는 거 없어 <br/>보이는 인생도 살아봐야 아는 거야 <br/>그런 거야 걱정은 마 <br/>사람 사는 거 어차피 <br/>다 거기서 거기야 <br/>잠을 미뤄 뒀네 전부 <br/>네 꿈까지 내가 write out <br/>잘게 이뤄 내고 난 후 <br/>눈 떠도 아직 어둡잖아 <br/>시키들 필요해 보여 카페인 <br/>네 가사 몽땅 반 수면 상태 <br/>Okey 헛소리 그만하고 <br/>퍼 자던 잠이나 더 자란 말 <br/>덕에 대낮에 떨어지는 별똥별 <br/>굼뜨지 말고 빨리 떨어져 <br/>남은 스타들이 너무 많은 걸 <br/>쓰던 낙하산은 어딨어 <br/>What you mean bro <br/>정신 나간 년이 무슨 말인데 또 <br/>떨어지기 전에 말해 줄 수 있어 <br/>아니라면 빨리 떨어지길 빌어<br/>
"
1409,Gangster,Kidk Kidk,Gangster,20,2019.09.19,"i’m not gang i’m not gang<br/>i’m not gangster<br/>허나 친구들과 나는<br/>싸울 준비가 돼있어<br/>bitch i’m not lame<br/>i’m not lame money chaser<br/>돈문제가 걸림 눈이 180도 회전<br/>시발 이제 양말 안 사 지하철 역에서<br/>빛을 받을 시간<br/>나는 돈 벌려 다 했어<br/>01 캐럿 diamond<br/>dancing on me like dancer<br/>난 녀석을 동네로 유인해<br/>now you danger<br/>녀석 옷을 뱃기지 im a savage<br/>십원까지 챙기지 나는 쌔비지<br/>가난했어 매일 나는 허슬러<br/>출세욕과 passion 때워 몸으로<br/>깡패처럼 gang gang 살어 폼으로<br/>세워 나의 dick dick<br/>안 굽혀 난 thick thick<br/>야망처럼 big big<br/>받아 나의 drip drip<br/>세워 나의 깃 깃 침을 뱉어 찍 찍<br/>정말 세상 모든 일을 전부 했지<br/>때론 눈물나는 날엔 밤을 샜지<br/>아픈 날들이<br/>안 보이게 높게 stackin’<br/>엄마 울지마 난 않아 부끄럽지<br/>나는 갱스터처럼 체인을 매지<br/>나는 갱스터처럼 랩을 뱉지<br/>나는 갱스터처럼 바닥 출신<br/>거지새끼 끝내 벌고서 뒈지지<br/>i’m not gang i’m not gang<br/>i’m not gangster<br/>허나 친구들과 나는<br/>싸울 준비가 돼있어<br/>bitch i’m not lame<br/>i’m not lame money chaser<br/>돈문제가 걸림 눈이 180도 회전<br/>시발 이제 양말 안 사 지하철 역에서<br/>빛을 받을 시간<br/>나는 돈 벌려 다 했어<br/>01 캐럿 diamond<br/>dancing on me like dancer<br/>난 녀석을 동네로 유인해<br/>now you danger<br/>
"
1410,always your side (Prod. Buyer) (Feat. Genno),vv;S,Depression-Pt;1,112,2019.09.19,"니가 내게 뭐라 해서 얼어<br/>니가 없어진 후에야 전화를 또 걸어<br/>헤어지고 2주 후에 <br/>전화로 또 버럭 거리는<br/>네 모습이 자꾸 생각나 <br/>빨간 차를 몰며 give me your hands <br/>02를 버리고 b612로 달려<br/>2번이나 잡았지만 너는 나를 깠어<br/>한 달도 안돼 다른 남자에게 갔어 ye <br/>난 그 말 지킬려 했어 <br/>넌 그만 지친다 했어<br/>우리는 정말 뭐였니<br/>나 궁금해 궁금해 <br/>안녕 난 너 없이도 <br/>행복하게 살 수 있을 거야 <br/>우리는 이제 전혀 색다른 행성에 살자<br/>조그만 운석들은 이제 아무것도 아니야<br/>큰 우주 안에 너 말고도 예쁜 것은 많아<br/>아직까지 어리지만 해본 것은 많아<br/>빛이 보일 수도 있고 내게 안 보일 수 있어 <br/>작고 여린 별들은 내가 먼지로만 봐서<br/>니가 별로 보인다면 니가 별로라는 거야<br/>개 xxx이라고 해도 울지 마<br/>그걸로 우는 네가 아닌 것도 알고 있어 난<br/>잠깐 바람 쐬러 나갔다가 올게 wait wait <br/>가장 바람 많은 <br/>너에게는 바라지도 않아 ye ye <br/>어제도 그 생각이 났어<br/>네가 젤 후회되고 x 같단 걸 <br/>그저께도 내가 딱 생각이 나 <br/>초록 땅에 비를 맞아가며 했단 걸<br/>야 다 됐고 먹을 걸로 오래갈꺼같에<br/>소화다 됐다고 다시 처먹는 게 너였잖아<br/>그래 네가 어떻게 살아가든 간에<br/>아무 신경 쓰지 않을게<br/>fuck beat you got it<br/>안녕 난 너 없이도 <br/>행복하게 살 수 있을 거야 <br/>우리는 이제 전혀 색다른 행성에 살자<br/>조그만 운석들은 이제 아무것도 아니야<br/>큰 우주 안에 너 말고도 예쁜 것은 많아<br/>난 너 없이도 행복하게 살 수 있을 거야 <br/>우리는 이제 전혀 색다른 행성에 살자<br/>조그만 운석들은 이제 아무것도 아니야<br/>큰 우주 안에 너 말고도 예쁜 것은 많아<br/>
"
