ranking,title,artist,album,likes,date,lyrics
1401,하루만,방탄소년단,Skool Luv Affair,"64,390",2014.02.12,"하루만 내게 시간이 있다면 <br/>달콤한 니 향기에 취해서 <br/>곤히 난 잠들고파 <br/>빡빡한 스케줄 사이에<br/>기회가 있다면<br/>따스하고 깊은 눈 안에 몸 담그고파<br/>I like that<br/>너의 그 길고 긴 생머리<br/>올려 묶을 때의 아찔한 목선과 <br/>흘러내린 잔머리<br/>서로 같이 어딜 가든<br/>내 핸드백은 니 허리<br/>Yo ma honey 볼 때마다 숨이 막혀 <br/>명동 거리처럼<br/>우리의 bgm은 숨소리<br/>내 이름을 불러줄 때의 니 목소리에<br/>잠겨서 난 수영하고파 너를 좀 더 <br/>알고파<br/>너란 미지의 숲을 깊이 모험하는 <br/>탐험가<br/>너란 작품에 대해 감상을 해<br/>너란 존재가 예술이니까<br/>이렇게 매일 난 밤새도록<br/>상상을 해 어차피 내게는<br/>무의미한 꿈이니까<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만 너와 내가 손잡을 수 있다면<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만<br/>너와 내가 함께할 수 있다면<br/>Do It Do It Do It<br/>너와 하루만 있기를 바래 바래<br/>Do It Do It Do It<br/>너와 단둘이 보내는 party party<br/>Do It Do It Do It<br/>너와 하루만 있기를 바래 바래<br/>Do It Do It Do It<br/>너와 단둘이 보내는 party party<br/>그럴 수 있다면 얼마나 좋을까<br/>아무데나 가서 밥 먹고 영화<br/>한 편만 볼 수만 있다면<br/>나란 애 정말 뭔 짓이라도<br/>할 텐데 girl<br/>I'm sorry<br/>내 머리가 넘 이성적 인가 봐<br/>그래도 언젠가 보면 웃어줘<br/>조금은 아니 어쩌면 많이 날 <br/>원망하겠지<br/>알아 내 꿈 때문에 널<br/>더 바라보지 못해서<br/>그럼 내게 하루만 줘<br/>꿈 속이라도 하루만<br/>현실을 핑계 대며 삼켜야 했던<br/>그 수많은 말<br/>중에서 딱 한 마디만<br/>제대로 할 수 있게<br/>그래 나팔꽃이 필 때 만나 <br/>헤어지자 꽃이 질 때<br/>쉽게 잊혀질 거라 생각 안 했지만<br/>너에게 난 그랬음 좋겠다면 <br/>이기적일까<br/>널 위해서라며 아직<br/>난 거짓말하고 있어<br/>넌 내 한가운데 서 있어<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만 너와 내가 손잡을 수 있다면<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만<br/>너와 내가 함께 하고 있다면<br/>let's go time<br/>24 hours 너와 단둘이<br/>있다면 아침부터 입맞춤해<br/>빠질 수 없는 브런치도 한 입 해<br/>손잡고 너와 햇빛에 몸 담그네<br/>안 끝내 아름다운 밤중에<br/>너에게 고백해 조명은 달로 해<br/>이 수많은 일들이 내게 말을 해<br/>단 하루만 있으면 가능해<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만 너와 내가 손잡을 수 있다면<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만<br/>너와 내가 함께할 수 있다면<br/>Do It Do It Do It<br/>너와 하루만 있기를 바래 바래<br/>Do It Do It Do It<br/>너와 단둘이 보내는 party party<br/>Do It Do It Do It<br/>너와 하루만 있기를 바래 바래<br/>Do It Do It Do It<br/>너와 단둘이 보내는 party party<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만 너와 내가 손잡을 수 있다면<br/>하루만 너와 내가 함께할 수 있다면<br/>하루만<br/>너와 내가 함께할 수 있다면<br/>Can you please stay with me<br/>
"
1402,"19금
Beverly 1lls","수퍼비, myunDo",쇼미더머니 5 Episode 3,"14,650",2016.07.02,가사가 없습니다
1403,"Birthday Remix (Feat. Ugly Duck, Woodie gochild, Hoody)",박재범,Birthday Gamble,"12,498",2017.12.11,"맑은 하늘 아래<br/>좋은 느낌이네<br/>Hot 한 summer party<br/>Champagne 한 모금해<br/>살맛이 나네 내일이 밝아오네<br/>하루 종일 I could do this all day<br/>여름엔 we gon celebrate<br/>It’s your birthday<br/>It’s your birthday<br/>It’s your birthday<br/>Like It’s your birthday<br/>It’s your birthday yeah<br/>we finna celebrate<br/>다 너를 보러 왔어 진정한 celebrity<br/>햇빛은 쨍쨍해서 시원하게 입었지<br/>아니지 박재범이라서<br/>웃통을 벗었지 oh lord<br/>정말이야 정말이야<br/>나의 시야 안엔 너뿐이야 mamasita<br/>술맛까지 달콤하지 drink sangria<br/>기분 좋아 카라 세워 call me mister<br/>mister mister 옥상 수영장에서<br/>셀카 찍어<br/>싱가폴은 내가 알지 넌 오빠만 믿어<br/>Yeah I need a Cha Cha beat boy<br/>AOMG ILLY hot 하지 boy<br/>Lets get it get it hit it hit it<br/>Seattle 2 Seoul yeah<br/>that’s my city city<br/>Ugly Duck 도 등장해<br/>pretty women is all I see<br/>우리가 빠지면 party가 아니지<br/>다시 태어난 듯한 기분<br/>산뜻한 기운<br/>축하하는 일은 정말 행복한 일<br/>즐겨 이런 게 사는 맛이군<br/>맛있는 음식들과 늘 반가운 친구들<br/>다들 아까운 시간들 쪼개가며<br/>일하느라 고생했어<br/>celebrate 건배<br/>넌 대접받을 자격 있어<br/>지나버린 힘든 기억은 잊어<br/>chillin’ like a villain<br/>웃을 일 뿐일 거야 피곤하면 쉬어<br/>야 야 억지로 움직일 필요 없네<br/>Crush처럼 멍 때려<br/>오늘은 그래도 돼<br/>before sunset<br/>낮술에 일광욕 또 아름다운 그대<br/>영원했으면 해<br/>Everyday is your birthday<br/>It’s your birthday<br/>It’s your birthday<br/>Like It’s your birthday<br/>Ok it's your birthday<br/>오늘 밤에 파티해<br/>Pop that champagne shake<br/>밤이 깊어가도 Hot해 완전<br/>마치 방금 나온 pan cake<br/>아침 해가 막 뜰 때까지<br/>I could do this all day<br/>밤새도록 놀자 우디가 빠지면 이젠<br/>party가 아니지 no way<br/>술 따러 기분 좋아<br/>Prr Prr Prr Prrrrr<br/>Moves like jagger 너와 춤을<br/>추고 싶어 Ra PaPa PamPam<br/>Yeah Positive mind Positive vibe<br/>모두가 다 행복하길 바래<br/>Like it’s your Birthday<br/>너의 매일이 바뀌기를 바래 난<br/>Like it's your Birthday YH HA<br/>맑은 하늘 아래<br/>좋은 느낌이네<br/>Hot 한 summer party<br/>Champagne 한 모금해<br/>살맛이 나네 내일이 밝아오네<br/>하루 종일 I could do this all day<br/>여름엔 we gon celebrate<br/>It’s your birthday<br/>It’s your birthday<br/>It’s your birthday<br/>Like It’s your birthday<br/>쓸데없는 걱정은 뒤로해<br/>이 분위기 방해 안 하기로 해<br/>한 여름 아니면 어때<br/>어디 있든 뜨겁게<br/>이 순간을 기억하고 싶은 걸<br/>It’s your birthday<br/>It’s your birthday<br/>It’s your birthday<br/>Like It’s your birthday<br/>
"
1404,상실의 순기능 (Feat. 수현),에픽하이 (EPIK HIGH),WE`VE DONE SOMETHING WONDERFUL,"25,613",2017.10.23,"깜빡거리는 신호등,<br/>굴러다니는 낙엽도<br/>할 일 하는데.<br/>난 왜 이럴까?<br/><br/>그대가 없는 밤들도 반짝거리고<br/>가을도 봄이 될 텐데<br/>난 왜 이럴까?<br/>왜 사는 걸까?<br/><br/>할 일, 오늘도 꽤 많았지.<br/>설거지, 방 청소, 책상 정리.<br/>복잡한 생각 한번 할 것 없이<br/>원위치로 가는 것들<br/>어찌 고마웠는지.<br/>밀렸던 자질구레한 일들이 무너진 날 이끄네.<br/>네 손이 놓은 내 손을 잡아준<br/>시간의 두 손은 가기 급해.<br/>안 읽던 책도<br/>어느새 마지막 한 장을 넘기는 날 발견해.<br/>어쩌면 이런 게 상실의 순기능.<br/>걱정 마. 난 이렇게 바쁘게 지내니까.<br/>내 스케줄표는 가득해.<br/>넌 너 할 일만 신경 써.<br/>고맙다. 내가 할 일도 하나 줘서.<br/><br/>깜빡거리는 신호등,<br/>굴러다니는 낙엽도<br/>할 일 하는데.<br/>난 왜 이럴까?<br/><br/>그대가 없는 밤들도 반짝거리고<br/>가을도 봄이 될 텐데<br/>난 왜 이럴까?<br/>왜 사는 걸까?<br/><br/>소파에 누워서 티비를 켜.<br/>벌써 삼십분 째 애꿎은 채널만 돌리면서…<br/>던져둔 폰에 울리는 전화벨 소리.<br/>누구든 상관없지.<br/>약속 잡고서 밖에 나갈 준비를 해.<br/>지금은 열한 시 반.<br/>예전에는 잠들 시간.<br/>요즘은 여기저기서 불러 불려 다니지, 난.<br/>바쁜 일상. 오랜만이라서 반가워.<br/>정신없는 하루. 불안정함이 나다워.<br/>이렇게 써도 항상 남는 게<br/>시간인지 감정인지 오늘과 같을 내일.<br/>솔직히 난 두려워.<br/>아무리 채워봐도 텅빈 마음 뿐이어서.<br/><br/>깜빡거리는 신호등,<br/>굴러다니는 낙엽도<br/>할 일 하는데.<br/>난 왜 이럴까?<br/><br/>그대가 없는 밤들도 반짝거리고<br/>가을도 봄이 될 텐데<br/>난 왜 이럴까?<br/>너도 이럴까?<br/><br/>난 왜…<br/>
"
1405,고엽,방탄소년단,화양연화 Young Forever,"76,829",2016.05.02,"떨어져 날리는 저기 낙엽처럼<br/>힘없이 쓰러져만 가 내 사랑이 <br/>니 맘이 멀어져만 가<br/>널 잡을 수 없어<br/>더 더 더 잡을 수 없어 난<br/>더 붙들 수 없어 yeah<br/>저기 저 위태로워 보이는 낙엽은<br/>우리를 보는 것 같아서<br/>손이 닿으면 단숨에라도<br/>바스라질 것만 같아서<br/>그저 바라만 봤지<br/>가을의 바람과 같이<br/>어느새 차가워진 말투와 표정<br/>관계는 시들어만 가는 게 보여<br/>가을 하늘처럼 공허한 사이<br/>예전과는 다른 모호한 차이<br/>오늘따라 훨씬 더 조용한 밤<br/>가지 위에 달린 낙엽 한 장<br/>부서지네 끝이란 게 보여<br/>말라가는 고엽<br/>초연해진 마음속의 고요<br/>제발 떨어지지 말아주오<br/>떨어지지 말아줘 바스라지는 고엽<br/>내 눈을 마주치는 너를 원해<br/>다시 나를 원하는 널 원해<br/>제발 떨어지지 말어<br/>쓰러지려 하지 말어 <br/>Never never fall<br/>멀리 멀리 가지 마<br/>Baby you girl 놓지 못하겠는 걸<br/>Baby you girl 포기 못하겠는 걸<br/>떨어지는 낙엽들처럼<br/>이 사랑이 낙엽들처럼<br/>Never never fall<br/>시들어가고 있어<br/>모든 낙엽은 떨어지듯이<br/>영원할 듯하던 모든 건 멀어지듯이<br/>너는 나의 다섯 번째 계절<br/>널 보려 해도 볼 수 없잖아<br/>봐 넌 아직 내겐 푸른색이야<br/>마음은 걷지 않아도 저절로 걸어지네<br/>미련이 빨래처럼 조각조각 널어지네<br/>붉은 추억들만 더러운<br/>내 위에 덜어지네<br/>내 가지를 떨지 않아도<br/>자꾸만 떨어지네<br/>그래 내 사랑은 오르기 위해<br/>떨어지네<br/>가까이 있어도 나의 두 눈은<br/>멀어지네 벌어지네<br/>이렇게 버려지네<br/>추억 속에서 난 또 어려지네<br/>Never never fall yeah<br/>Never never fall yeah<br/>내 눈을 마주치는 너를 원해<br/>다시 나를 원하는 널 원해<br/>제발 떨어지지 말어<br/>쓰러지려 하지 말어 <br/>Never never fall<br/>멀리 멀리 가지 마<br/>왜 난 아직도 너를 포기 못해 난<br/>시들어진 추억을 붙잡고<br/>욕심인 걸까<br/>지는 계절을 되돌리려 해<br/>돌리려 해<br/>타올라 붉게 활활<br/>다 아름다웠지 우리의 길 위엔<br/>근데 시들어버리고<br/>낙엽은 눈물처럼 내리고<br/>바람이 불고 다 멀어지네 all day<br/>비가 쏟아지고 부서지네<br/>마지막 잎새까지 넌 넌 넌<br/>내 눈을 마주치는 너를 원해<br/>다시 나를 원하는 널 원해<br/>제발 떨어지지 말어<br/>쓰러지려 하지 말어 <br/>Never never fall<br/>멀리 멀리 가지 마<br/>Baby you girl 놓지 못하겠는 걸<br/>Baby you girl 포기 못하겠는 걸<br/>떨어지는 낙엽들처럼<br/>이 사랑이 낙엽들처럼<br/>Never never fall<br/>시들어가고 있어<br/>Never never fall<br/>Never never fall<br/>
"
1406,Let Me Dance,렉시,Lexury,"5,100",2003.10.07,"Let me dance to dance <br/>to you my love<br/>내 사랑은 너뿐이야<br/>너와 뗄 수<br/>뗄 수 없어 나<br/>우리 사랑은 영원히<br/>Let's go 너와<br/>눈이 맞은 그 순간에<br/>그대 모습에<br/>난 홀딱 반해<br/>항상 이러냐고 묻지만<br/>천만에<br/>난생 처음이야<br/>몇번 말해<br/>널 만나기전까지<br/>난 부시맨<br/>지난 과거는<br/>모두 다 무시해<br/>니 가슴속 깊은 슬픔에<br/>내가 되어줄게 수퍼맨<br/>우리 사랑은 말이야<br/>김중배에 빛나는<br/>다이아로도 살 수가<br/>없다는 말이야<br/>넌 나만의 영원한<br/>성모 마리아<br/>이미 너도 알고 있지<br/>내게 이 마음 다<br/>니곁에 있는 걸<br/>왜 난 더 주고만 싶지<br/>그게 더 행복한<br/>나의 사랑인 걸<br/>Let me dance to dance <br/>to you my love<br/>내 사랑은 너뿐이야<br/>너와 뗄 수<br/>뗄 수 없어 나<br/>우리 사랑은 영원히<br/>너의 미소에<br/>내 마음은 중독<br/>너라면 좋아<br/>아름다운 구속<br/>You so beautiful<br/>숨이 막히네<br/>나를 바라보는<br/>너의 그 눈빛에<br/>No 걱정마 이제<br/>내가 니곁에서<br/>영원히 널 지킬게<br/>난 난 행복해<br/>니가 있어주는 것만으로<br/>행복해<br/>이리와 내 손을 잡고  <br/>춤을 춰요<br/>이 밤이 갈때까지<br/>즐겨요<br/>All night long<br/>L E X Y come on girl<br/>Let me hear<br/>you sing my song<br/>누가 더 좋아하는건지<br/>더 사랑하는지<br/>모두 부질 없어<br/>왜 난 더 주고만 싶지<br/>그게 더 행복한<br/>나의 사랑인 걸<br/>Let me dance to dance <br/>to you my love<br/>내 사랑은 너뿐이야<br/>너와 뗄 수<br/>뗄 수 없어 나<br/>우리 사랑은 영원히<br/>L E X Y<br/>이제 날 바라봐<br/>조금 더 다가와<br/>시간이 아까와<br/>Let me talk to<br/>talk to you my girl<br/>내 사랑은<br/>너뿐이야<br/>너의 모든 아픔을<br/>내가 덜어줄게<br/>덜어주기보단<br/>내가 대신 아파줄게<br/>영원토록 너의 곁에<br/>있어줄게<br/>있어주기보단<br/>뒤에서 지켜줄게<br/>사랑은 받으면<br/>받을수록 기분 좋은<br/>내 전부를 줘도<br/>아깝지 않은<br/>오직 한 사람<br/>유일한 사람<br/>One and only girl you<br/>the only my life<br/>Let me dance to dance <br/>to you my love<br/>내 사랑은 너뿐이야<br/>너와 뗄 수<br/>뗄 수 없어 나 우리 사랑은 <br/>영원히 Let me dance to <br/>dance to you my love <br/>내 사랑은 너뿐이야 너와 뗄 수 <br/>뗄 수 없어 나 우리 사랑은 <br/>항상 영원히<br/>
"
1407,Dry flower (Feat. Noi),캐시모어 (Cashmore),#asyoufeel,30,2020.02.20,"넌 마치 Dry Flower<br/>넌 곧 사라질것만 같아<br/>Baby I just wanna be right your side<br/>넌 또 자물쇠로 잠궈 네 마음<br/>아름다움 뒤에 있는 밤<br/>She said it’s alright<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>Baby I wanna ohh<br/>see your mind<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>She said it’s alright<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>Baby I wanna ohh<br/>see your mind<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>너의 거짓말은<br/>내 입술을 마르게 해<br/>난 지금 보여<br/>우는 것처럼 네 모든 게 다<br/>의미를 알 수가 없어<br/>향기가 나지않는 너의 미소<br/>Wait I pray<br/>어차피 깨질꺼<br/>내가 부술래 I`ll break<br/>먼지쌓인 꽃잎에 앉아<br/>난 날개는 없는데<br/>She said it’s alright<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>Baby I wanna ohh<br/>see your mind<br/>But 내 눈에 비친 넌 너무<br/>위태로워보여 Tonight<br/>She said it’s alright<br/>위태로워보여 Tonight<br/>Baby I wanna ohh<br/>see your mind<br/>위태로워보여 Tonight<br/>
"
1408,OYEAH,OLNL (오르내림),APOLLO,"14,030",2017.04.29,"어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>Oyeah Oyeah Oyeah<br/>솔직히 맨 처음<br/>민증 검사 할 때 그때만 잠깐<br/>Oyeah Oyeah Oyeah<br/>그 뒤로 계속 말은 안해도 계속<br/>다운 돼 있었어<br/>너희가 데려왔으면 책임지고<br/>teach me how to dance<br/>해야지 너희가<br/>왜 자꾸 눈치만 주고<br/>자꾸 눈치 주게 해<br/>발 조심 하고 나와 나가자<br/>yeah 챔스보다 재밌는 걸<br/>알려준다 해서<br/>나왔지 이 새벽에 but but but<br/>후회만 가득해<br/>네이버 스포츠 5분마다<br/>새로 고침해<br/>어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>원래부터 이런 성격이야 어렸을 땐<br/>이보다도 더 했어 근데<br/>이런 멍청한 이제원은<br/>킥보드를 타는 어린아이 같았고<br/>이 어린아이 앞에서는 담뱃불을 끄는<br/>모습들을 보았어 그 뒤로<br/>난 이 모습을 유지하고 싶어졌고<br/>그래서 스무살이 됐어도<br/>거릴 뒀어 이 기분을<br/>망치기는 싫었거든<br/>내 자전거에 붙어 있는<br/>보조 바퀴를 때는 건 싫었어<br/>계속 이렇게 달리고 싶어<br/>남들보다 좀 느려도<br/>넘어질 일 없어서<br/>상처 받을 일도 없거든<br/>난 내가 소심한 줄 알았지만<br/>그냥 자신 없던 거였단걸<br/>알았을 때부터는 필요 없었지<br/>난 내 자전거에<br/>보조 바퀴 같은 건 말야<br/>어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>어떻게 움직여 클럽에선<br/>그냥 나가면 안돼 여기에서<br/>미안해 괜히 분위기 깨서 미안해<br/>괜히 분위기 깨서<br/>
"
1409,"19금
11:11",ILLIONAIRE RECORDS,11:11,"13,302",2014.05.21,가사가 없습니다
1410,사과상자 (Feat. loopy),나플라 (nafla),ANGELS,"8,123",2017.10.22,"I roll with homies<br/>we be chillin' and we smokin'<br/>같은 곳을 보고 있어<br/>I be going through some life<br/>with the homies we be rollin'<br/>팔목에는 채울 rollies<br/>우리들은 우리끼리<br/>놀고 있어 making money<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>don't hate<br/>we trynna get that cake alright<br/>핸드싸인 throw up<br/>매일마다 돈을 부어<br/>놀고먹고 자 벌어<br/>드디어<br/>na on the come up<br/>크게 말아서 기침<br/>감기가 걸린 것처럼<br/>매일 pop bottles 털어<br/>지갑 안에 쌓인 problems<br/>상자 안에 cake<br/>it's never late<br/>다시 맛봐 내 노래들을<br/>sorry for the wait<br/>이젠 바빠 앞날은<br/>밝아 like a star<br/>cuz I ain't fuckin' with no cops<br/>I ain't fuckin' with no thots<br/>양주 깔아놓아 유리 위에<br/>마셔 shooting star<br/>우리끼리 놀아 편해<br/>우리들만 올라가<br/>돈을 벌고 쓰고 벌어<br/>언제 죽을지 몰라<br/>my god I'm okay<br/>더 따라봐 champagne<br/>I roll with homies<br/>we chillin' at the spot<br/>I roll with homies<br/>we chillin' at the spot<br/>I roll with homies<br/>we chillin' at the spot<br/>I roll with homies<br/>we chillin' at the spot<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>don't hate<br/>we trynna get that cake alright<br/>집에 돌아갈 때 하늘색<br/>so navy<br/>거짓말은 안 해<br/>난 슬퍼 lately<br/>2번 freeway<br/>아직도 선명해<br/>줄지어서 여러 대<br/>차 세워 fairfax<br/>supremes I bought it too<br/>cool<br/>yeah 애들과<br/>날린 풍선 타고 rollin'<br/>pop a xan<br/>tab<br/>그녀는 poppin' fuckin' molly<br/>취해도 okay cool<br/>smokin' cali<br/>she from valley<br/>you don't get it<br/>you don't get it<br/>아침까지 우린 rollin'<br/>gucci we don't gang bang<br/>우린 채워 사과 상자 안에<br/>cash cash<br/>우릴 만날 땐 준비해둬<br/>pay check<br/>우릴 만날 땐 준비해둬<br/>pay check<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>사과 상자에 담아 돈다발<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>우린 매일 우리끼리 놀아<br/>매일 alright<br/>don't hate<br/>we trynna get that cake alright<br/>roll with homies<br/>지붕 열고 피는 swisher<br/>공항 돌고 돌아<br/>투어하러 coasting<br/>still straight fuckin' chillin'<br/>roll with homies<br/>지붕 열고 피는 swisher<br/>공항 돌고 돌아<br/>투어하러 coasting<br/>still straight fuckin' chillin'<br/>roll with homies<br/>지붕 열고 피는 swisher<br/>공항 돌고 돌아<br/>투어하러 coasting<br/>still straight fuckin' chillin'<br/>roll with homies<br/>지붕 열고 피는 swisher<br/>공항 돌고 돌아<br/>투어하러 coasting<br/>still straight fuckin' chillin'<br/>
"
